width,spacing,Cc_100u,Ct_100u,R_100u
0.1e-06,0.1e-06,9.68e-15,2.05e-14,140.758324952
0.1e-06,0.2e-06,7.4e-15,1.62e-14,84.35445331052
0.1e-06,0.3e-06,5.38e-15,1.23e-14,79.02574529448
0.1e-06,0.4e-06,4.31e-15,1.04e-14,78.32195366972
0.1e-06,0.5e-06,3.65e-15,9.22e-15,78.22141200904
0.1e-06,1e-06,2.14e-15,6.84e-15,78.02032868768
0.2e-06,0.1e-06,8.96e-15,1.93e-14,65.8547877454
0.2e-06,0.2e-06,5.91e-15,1.34e-14,64.8493711386
0.2e-06,0.3e-06,4.62e-15,1.1e-14,64.3466628352
0.2e-06,0.4e-06,3.88e-15,9.68e-15,64.3466628352
0.2e-06,0.5e-06,3.37e-15,8.81e-15,64.3466628352
0.2e-06,1e-06,2.08e-15,6.83e-15,63.8439545318
0.3e-06,0.1e-06,8.96e-15,1.94e-14,40.216664272
0.3e-06,0.2e-06,6.14e-15,1.4e-14,39.2112476652
0.3e-06,0.3e-06,4.86e-15,1.16e-14,38.8761087962667
0.3e-06,0.4e-06,4.1e-15,1.03e-14,38.8761087962667
0.3e-06,0.5e-06,3.52e-15,9.24e-15,38.8761087962667
0.3e-06,1e-06,2.22e-15,7.27e-15,38.5409699273333
0.4e-06,0.1e-06,9.15e-15,2e-14,28.6543732938
0.4e-06,0.2e-06,6.34e-15,1.45e-14,28.1516649904
0.4e-06,0.3e-06,5.05e-15,1.21e-14,27.9003108387
0.4e-06,0.4e-06,4.29e-15,1.08e-14,27.648956687
0.4e-06,0.5e-06,3.74e-15,9.83e-15,27.648956687
0.4e-06,1e-06,2.34e-15,7.66e-15,27.648956687
0.5e-06,0.1e-06,9.47e-15,2.08e-14,21.91808202824
0.5e-06,0.2e-06,6.56e-15,1.51e-14,21.71699870688
0.5e-06,0.3e-06,5.23e-15,1.26e-14,21.51591538552
0.5e-06,0.4e-06,4.44e-15,1.12e-14,21.51591538552
0.5e-06,0.5e-06,3.9e-15,1.03e-14,21.31483206416
0.5e-06,1e-06,2.46e-15,8.03e-15,21.31483206416
1e-06,0.1e-06,9.75e-15,2.21e-14,12.0649992816
1e-06,0.2e-06,7e-15,1.68e-14,11.96445762092
1e-06,0.3e-06,5.69e-15,1.43e-14,11.96445762092
1e-06,0.4e-06,4.89e-15,1.28e-14,11.86391596024
1e-06,0.5e-06,4.33e-15,1.19e-14,11.86391596024
1e-06,1e-06,2.82e-15,9.48e-15,11.86391596024
